====================================================================================================
UNIT POSITIONS - ALL PALADINS (Front / Mid / Back)
====================================================================================================

Total Units: 263
Front: 97 | Mid: 75 | Back: 43

----------------------------------------------------------------------------------------------------
FRONT ROW UNITS
----------------------------------------------------------------------------------------------------
  2002 | Aysis           | Tank       | Physical   | 想
  2004 | Luceria         | Tank       | Physical   | 想
  2005 | Gladys          | Attacker   | Physical   | 火
  2009 | Drowatt         | Attacker   | Physical   | 風
  2010 | Aristera        | Attacker   | Magical    | 想
  2011 | Rosalyn         | Attacker   | Physical   | 水
  2012 | Estria          | Tank       | Physical   | 想
  2013 | Celebria        | Tank       | Magical    | 水
  2015 | Xevia           | Tank       | Physical   | 風
  2017 | Elythia         | Attacker   | Physical   | 風
  2019 | Lorelia         | Attacker   | Physical   | 水
  2023 | Azura           | Tank       | Physical   | 火
  2024 | Zoe             | Tank       | Magical    | 魔
  2027 | Destra          | Tank       | Physical   | 魔
  2028 | Eskelda         | Tank       | Physical   | 水
  2030 | Athena          | Tank       | Physical   | 聖
  2032 | Lucrezia        | Attacker   | Physical   | 水
  2037 | Veronica        | Support    | Physical   | 水
  2039 | Guinevia        | Attacker   | Physical   | 魔
  2048 | Artia           | Tank       | Physical   | 火
  2050 | Inrine          | Attacker   | Physical   | 水
  2052 | Gemini          | Attacker   | Physical   | 火
  2054 | Hildis          | Attacker   | Physical   | 火
  2055 | Luca            | Attacker   | Physical   | 風
  2057 | Nora            | Tank       | Physical   | 火
  2059 | Setsuka         | Attacker   | Physical   | 火
  2060 | Yu Lima Elka    | Tank       | Physical   | 魔
  2062 | Hisara          | Attacker   | Physical   | 風
  2064 | Natasha         | Tank       | Physical   | 水
  2066 | 【Elegant Portrait】Aysis | Tank       | Physical   | 想
  2067 | 【Mischievous Mermaid Princess】Lorelia | Attacker   | Physical   | 水
  2070 | 【Festival Dress-Up】Natasha | Tank       | Physical   | 聖
  2073 | Lucie           | Attacker   | Physical   | 風
  2074 | Rui             | Attacker   | Physical   | 火
  2083 | 【Slightly Mischievous Devil】Luca | Attacker   | Physical   | 火
  2084 | Lapis           | Attacker   | Magical    | 水
  2085 | Rosa            | Attacker   | Physical   | 聖
  2086 | Gracie          | Tank       | Physical   | 聖
  2087 | Lynette         | Tank       | Physical   | 想
  2090 | 【Fruit Basket】Bianca | Attacker   | Physical   | 水
  2093 | Raguen          | Tank       | Physical   | 聖
  2094 | 【Samurai Cow Girl】Setsuka | Attacker   | Physical   | 火
  2095 | 【Queen of Pies and Cookies】Aphrodia | Attacker   | Physical   | 想
  2096 | 【Magical Holy Night Festival】Kaguya | Tank       | Physical   | 想
  2102 | Henrietti       | Support    | Physical   | 火
  2103 | Vanessa         | Attacker   | Physical   | 風
  2107 | Katisha         | Attacker   | Physical   | 聖
  2108 | Magdalena       | Tank       | Magical    | 風
  2110 | 【Chocolate Dragon Warrior】Hildis | Attacker   | Magical    | 水
  2113 | Lilith          | Attacker   | Physical   | 魔
  2114 | Diana           | Attacker   | Physical   | 聖
  2115 | Zilka           | Attacker   | Physical   | 水
  2116 | Sarka           | Attacker   | Physical   | 水
  2118 | Lilirara        | Tank       | Physical   | 風
  2123 | Fionore         | Tank       | Physical   | 聖
  2124 | Yaksha          | Attacker   | Physical   | 魔
  2127 | 【Underboob Cheerleader】Gemini | Support    | Physical   | 風
  2131 | Eva             | Tank       | Physical   | 魔
  2133 | Collie          | Attacker   | Physical   | 風
  2138 | 【School bloomers】Black Knight | Attacker   | Magical    | 魔
  2139 | Sirius          | Attacker   | Physical   | 聖
  2144 | Ilugio          | Attacker   | Physical   | 水
  2146 | Raffi           | Tank       | Physical   | 水
  2148 | Elaine          | Attacker   | Physical   | 魔
  2150 | 【Big Wave surfing of Love】Priscilla | Attacker   | Physical   | 風
  2152 | 【Skateboarder】Nue | Tank       | Physical   | 風
  2155 | Sharik          | Attacker   | Physical   | 想
  2156 | Lin             | Attacker   | Physical   | 風
  2158 | 【Swordsman of the Sky Festival】Raguen | Attacker   | Physical   | 聖
  2160 | 【Steaming Dim Sum】Lilirara | Attacker   | Physical   | 火
  2161 | 【Maid Erotic Enchanter】Ilugio | Attacker   | Physical   | 聖
  2163 | 【Invincible Empress】Gladys | Tank       | Physical   | 火
  2164 | Captain of the Vern Holy Knights Order】Frigis | Attacker   | Physical   | 聖
  2165 | 【Festive China Dress】Diana | Attacker   | Physical   | 聖
  2166 | Shushu          | Attacker   | Magical    | 魔
  2167 | 【Kitty】Ruru     | Attacker   | Physical   | 想
  2172 | 【Plump Succubus】Katisha | Attacker   | Physical   | 風
  2175 | 【My Little Sister Is a Sailor】Bonita | Attacker   | Magical    | 水
  2176 | 【Cow-Breasted Girl】Elaine | Tank       | Physical   | 魔
  2178 | 【Assassin Beer Girl】Rui | Attacker   | Physical   | 風
  2180 | 【Paladin of Elron】Luca | Attacker   | Physical   | 風
  2181 | 【Lone Biker】Inleen | Attacker   | Physical   | 火
  2182 | 【Seductive Sweater】Hildis | Attacker   | Physical   | 想
  2186 | 【Swift Blessing Hand】Lin | Support    | Physical   | 風
  2187 | 【Repressed Schoolgirl】Raffine | Attacker   | Physical   | 想
  2189 | 【Fat-Burning Kimono Girl】Beautia | Attacker   | Physical   | 火
  2190 | 【Red Umbrella Zodiac Girl】Lilirara | Attacker   | Physical   | 水
  2192 | 【Twin Shrine Maiden】Cluul | Attacker   | Magical    | 火
  2194 | Louise          | Attacker   | Physical   | 水
  2200 | 【Handmade Chocolate Maid】Sarka | Attacker   | Physical   | 魔
  2203 | 【Artist on Ice】Ilugio | Attacker   | Physical   | 風
  2205 | 【Super Serious Nurse】Lapis | Support    | Physical   | 風
  2206 | 【Elegant Bunny Girl】Bernadette | Attacker   | Physical   | 水
  2207 | 【Goddess of Wisdom and Courage】Athena | Tank       | Physical   | 聖
  2209 | 【Boob-Shaking Cheerleader】Nora | Attacker   | Physical   | 想
  2211 | 【Boob-Shaking Cheerleader】Bonita | Attacker   | Physical   | 想
  2215 | Sonia           | Attacker   | Physical   | 聖

----------------------------------------------------------------------------------------------------
MID ROW UNITS
----------------------------------------------------------------------------------------------------
  2001 | Shamshel        | Attacker   | Magical    | 魔
  2003 | Roxanne         | Support    | Physical   | 想
  2006 | Emelaria        | Attacker   | Magical    | 魔
  2008 | Nerys           | Attacker   | Magical    | 風
  2016 | Shahar          | Attacker   | Physical   | 魔
  2021 | Messeria        | Support    | Physical   | 風
  2026 | Farneria        | Attacker   | Magical    | 水
  2038 | Celestia        | Support    | Physical   | 風
  2040 | 【The Noble Succubus Empress】Shamshel | Attacker   | Magical    | 魔
  2041 | 【Magical Princess】 Luceria | Attacker   | Magical    | 聖
  2042 | 【Golem Summoner】Nerys | Support    | Physical   | 想
  2044 | 【Hypnotic Dancer】Messeria | Support    | Physical   | 風
  2046 | Theresia        | Attacker   | Magical    | 想
  2047 | Soltina         | Attacker   | Physical   | 魔
  2049 | The Dark Knight | Attacker   | Magical    | 魔
  2061 | Stenlina        | Attacker   | Magical    | 聖
  2063 | Bianca          | Attacker   | Physical   | 想
  2065 | 【Elegant Portrait】Shamshel | Attacker   | Magical    | 魔
  2068 | 【Festival Empress】Shamshel | Attacker   | Magical    | 火
  2075 | Nue             | Attacker   | Physical   | 水
  2078 | 【Killer☆Bikini】Theresia | Attacker   | Magical    | 想
  2079 | 【Epic Fishing】Meinias | Attacker   | Physical   | 水
  2081 | 【The Strongest Witch】Shaharl | Support    | Magical    | 火
  2088 | Giselle         | Attacker   | Physical   | 聖
  2089 | 【Top Dancer】Messeria | Support    | Physical   | 聖
  2091 | 【Want some beer?】Stenrina | Support    | Physical   | 想
  2092 | Lust            | Attacker   | Magical    | 魔
